Player,Nicknames,Exclude_Seasons,Associations
Jermain Defoe,"Jermain Defoe, Jermain, Defoe",,(Tottenham)
Dimitar Berbatov,"Dimitar Berbatov, Dimitar, Berbatov",,"(Tottenham, Manchester Utd)"
Danny Rose,"Danny Rose, Rose, Danny",,(Tottenham)
Bill Nicholson,"Bill Nicholson, Nicholson",,(Tottenham)
Mousa Dembélé,"Mousa Dembélé, Dembele, Mousa Dembele",,(Tottenham)
Érik Lamela,"Érik Lamela, Lamela, Erik Lamela",,(Tottenham)
Glenn Hoddle,"Glenn Hoddle, Hoddle, Glenn",,(Tottenham)
Jimmy Greaves,"Jimmy Greaves, Greaves, Jimmy",,"(Chelsea, Tottenham)"
Steven Gerrard,"Steven Gerrard, Gerrard, Stevie G",,(Liverpool)
John Terry,"John Terry, Terry",,(Chelsea)
Alan Shearer,"Alan Shearer, Shearer, Alan"
Didier Drogba,"Didier Drogba, Didier, Drogba",,(Chelsea)
Cesc Fàbregas,"Cesc Fàbregas, Cesc, Fàbregas, Fabregas",,"(Arsenal, Chelsea)"
Frank Lampard,"Frank Lampard, Lampard, Frank, Lamps","(2022/23)","(Chelsea)"
Gianfranco Zola,"Gianfranco Zola, Gianfranco, Zola",,(Chelsea)
Sergio Agüero,"Sergio Agüero, Sergio Aguero, Aguero",,(Manchester City)
Vincent Kompany,"Vincent Kompany, Kompany, Vincent",,(Manchester City)
David Silva,"David Silva, Silva, El Mago, Mago, Merlin",,(Manchester City)
Yaya Touré,"Yaya Touré, Touré, Yaya Toure, Toure, Uncle Yaya, Yaya, Toure Yaya",,(Manchester City)
Sol Campbell,"Sol, Sol Campbell, Campbell",,"(Tottenham, Arsenal)"
Ian Wright,"Ian Wright, Wright, Wrighty",,(Arsenal)
Dennis Bergkamp,"Dennis Bergkamp, Bergkamp, Dennis",,(Arsenal)
Arsène Wenger,"Arsène Wenger, Arsene, Wenger, Arsene Wenger",,(Arsenal)
Thierry Henry,"Thierry Henry, Thierry, Henry",,(Arsenal)
Petr Čech,"Petr Čech, Cech, Čech, Petr, Pete Cech, Big Pete",,"(Chelsea, Arsenal)"
Michael Owen,"Michael Owen, Owen",,"(Liverpool, Manchester Utd)"
Fernando Torres,"Fernando Torres, Torres, El Niño, El Nino, Fernando",,(Liverpool)
Kenny Dalglish,"Kenny Dalglish, Kenny, Dalglish, King Kenny",,(Liverpool)
Ian Rush,"Ian Rush, Rush, Ian",,(Liverpool)
Jamie Carragher,"Jamie Carragher, Jamie, Carragher",,(Liverpool)
Graeme Souness,"Graeme Souness, Souness, Graeme",,(Liverpool)
Luis Suárez,"Luis Suárez, Suárez, Suarez",,(Liverpool)
Joel Matip,"Joel Matip, Matip",,(Liverpool)
Daniel Sturridge,"Daniel Sturridge, Danny Sturridge, Sturridge",,"(Manchester City, Chelsea, Liverpool)"
Pepe Reina,"Pepe Reina, Reina",,(Liverpool)
Georginio Wijnaldum,"Georginio Wijnaldum, Wijnaldum, Gini Wijnaldum, Gini, Georginio",,(Liverpool)
Philippe Coutinho,"Philippe Coutinho, Philippe, Coutinho, Little Magician",,(Liverpool)
Xabi Alonso,"Xabi Alonso, Xabi, Alonso",,(Liverpool)
Jan Vertonghen,"Jan Vertonghen, Vertonghen, Jan, Super Jan, SuperJan",,(Tottenham)
Harry Winks,"Winks, Harry Winks, Winksy","(2021/22)",(Tottenham)
Pierre-Emerick Aubameyang,"Pierre, Aubameyang, Pierre-Emerick Aubameyang, Auba, PEA","(2022/23)",(Arsenal)
Willian,"Willian, Willian Borges",,"(Chelsea, Arsenal)"
Jamie Vardy,"Jamie Vardy, Vardy, Jamie"
Danny Ings,"Danny Ings, Danny, Daniel Ings, Ings",,(Liverpool)
Tammy Abraham,"Tammy Abraham, Tammy, Abraham",,(Chelsea)
Adama Traoré,"Adama Traoré, Adama, Traoré, Traore"
Emiliano Martínez,"Emiliano Martínez, Emi Martinez, Martinez, Dibu, Dibu Martinez, Emiliano",,(Arsenal)
David Luiz,"David Luiz, Luiz",,"(Chelsea, Arsenal)"
Héctor Bellerín,"Héctor Bellerín, Bellerín, Hector",,(Arsenal)
Granit Xhaka,"Granit, Xhaka, Granit Xhaka","(2021/22, 2022/23)",(Arsenal)
Shkodran Mustafi,"Shkodran Mustafi, Shkodran, Mustafi",,(Arsenal)
Danny Welbeck,"Danny Welbeck, Welbeck",,"(Manchester Utd, Arsenal)"
Theo Walcott,"Theo Walcott, Walcott",,(Arsenal)
Wojciech Szczęsny,"Wojciech Szczęsny, Wojciech, Szczęsny, Chesney, Wojtek, Tek, Woj",,(Arsenal)
Alexis Sánchez,"Alexis Sánchez, Alexis, Sanchez, El Niño Maravilla, Niño Maravilla",,"(Arsenal, Manchester Utd)"
Dele Alli,"Dele Alli, Alli, Dele, Bamidele Alli, Bamidele",,(Tottenham)
Kyle Walker-Peters,"Kyle Walker-Peters, Walker-Peters, Walker Peters, KWP",,(Tottenham)
Juan Foyth,"Juan Foyth, Juan, Foyth",,(Tottenham)
Kieran Trippier,"Kieran Trippier, Kieran, Trippier, Tripps",,(Tottenham)
Toby Alderweireld,"Toby Alderweireld, Toby, Alderweireld, Tobs",,(Tottenham)
Lucas Moura,"Lucas, Moura, Lucas Moura","(2021/22, 2022/23)",(Tottenham)
Serge Aurier,"Serge Aurier, Serge, Aurier",,(Tottenham)
Pablo Zabaleta,"Pablo Zabaleta, Zabaleta, Pablo, Zaba",,(Manchester City)
Edin Džeko,"Edin, Dzeko, Edin Džeko, Džeko, Bosnian Diamond, Diamond",,(Manchester City)
